,Rank,Name,Name.1,Nation,Points,898,889,888,886,884,878,877,2006,event,gender,athlete_id
0,1,Meyer,Jérôme,FRA,525.00,8. (40.00),2. 80.00,1. 100.00,1. 100.00,2. 80.00,3. 65.00,1. 100.00,2006,boulder,MEN,441
1,2,Fischhuber,Kilian,AUT,490.00,1. 100.00,3. 65.00,2. 80.00,3. 65.00,4. (55.00),1. 100.00,2. 80.00,2006,boulder,MEN,2602
2,3,Pouvreau,Gérome,FRA,306.00,,9. 37.00,4. 55.00,10. 34.00,1. 100.00,9. 37.00,7. 43.00,2006,boulder,MEN,2833
3,4,Core,Christian,ITA,283.00,6. 47.00,11. (31.00),7. 43.00,5. 51.00,7. 43.00,10. 34.00,3. 65.00,2006,boulder,MEN,122
4,5,Gaidioz,Loïc,FRA,281.00,16. 20.00,16. (20.00),10. 34.00,2. 80.00,9. 37.00,4. 55.00,4. 55.00,2006,boulder,MEN,5310
5,6,Mrázek,Tomás,CZE,279.00,5. 51.00,4. 55.00,3. 65.00,7. 43.00,3. 65.00,,,2006,boulder,MEN,3377
6,7,Julien,Stephane,FRA,230.00,10. 34.00,8. 40.00,5. 51.00,19. 14.00,8. 40.00,23. (8.00),5. 51.00,2006,boulder,MEN,826
7,8,Oleksy,Tomasz,POL,219.00,3. 65.00,15. 22.00,19. 14.00,14. 24.00,5. 51.00,7. 43.00,26. (5.00),2006,boulder,MEN,906
8,9,Earl,Andrew,GBR,202.00,14. 24.00,13. 26.00,8. 40.00,9. 37.00,,12. 28.00,6. 47.00,2006,boulder,MEN,3422
9,10,Müller,Matthias,SUI,161.00,24. 7.00,,,17. 18.00,18. 16.00,2. 80.00,8. 40.00,2006,boulder,MEN,2675
10,11,Rakhmetov,Salavat,RUS,127.00,2. 80.00,,,,,6. 47.00,,2006,boulder,MEN,845
11,12,Baumann,Jonas,GER,120.00,12. 28.00,12. 28.00,14. 24.00,25. 6.00,,14. 24.00,21. 10.00,2006,boulder,MEN,5206
12,13,Parry,Gareth,GBR,113.00,18. 16.00,18. 16.00,13. 26.00,,14. 24.00,24. 7.00,14. 24.00,2006,boulder,MEN,312
13,14,Borowka,Andre,GER,108.00,25. 6.00,10. 34.00,16. 20.00,,,16. 20.00,12. 28.00,2006,boulder,MEN,2394
14,15,Badia,Nicolas,FRA,102.00,9. 37.00,20. 12.00,,26. 5.00,19. 14.00,,10. 34.00,2006,boulder,MEN,6141
15,16,Lama,David,AUT,100.00,,1. 100.00,,,,,,2006,boulder,MEN,6487
16,17,Caminati,Michele,ITA,97.00,,,6. 47.00,12. 28.00,15. 22.00,,,2006,boulder,MEN,6245
17,18,Gelmanov,Rustam,RUS,96.00,,22. 9.00,22. 9.00,6. 47.00,,11. 31.00,,2006,boulder,MEN,6933
18,18,Glairon Mondet,Guillaume,FRA,96.00,,25. 6.00,,4. 55.00,13. 26.00,,22. 9.00,2006,boulder,MEN,3500
19,20,Samyn,Remi,FRA,87.00,,23. 8.00,,8. 40.00,24. 7.00,19. 14.00,17. 18.00,2006,boulder,MEN,3223
20,21,Verhoeven,Jorg,NED,85.00,,5. 51.00,,,10. 34.00,,,2006,boulder,MEN,3115
