,Rank,Name,Name.1,Nation,Points,1458,1461,1460,1459,1462,1457,1456,1455,2013,event,gender,athlete_id
0,1,KIM,Jain,KOR,625.00,4. (55.00),1. 100.00,2. 80.00,2. 80.00,1. 100.00,1. 100.00,3. 65.00,1. 100.00,2013,lead,WOMEN,5983
1,2,Markovic,Mina,SLO,605.00,3. 65.00,2. 80.00,1. 100.00,1. 100.00,4. (55.00),2. 80.00,1. 100.00,2. 80.00,2013,lead,WOMEN,5169
2,3,Oda,Momoka,JPN,491.00,1. 100.00,3. 65.00,5. 51.00,3. 65.00,3. 65.00,3. 65.00,2. 80.00,20. (12.00),2013,lead,WOMEN,9097
3,4,Röck,Magdalena,AUT,374.00,5. 51.00,8. 40.00,3. 65.00,6. 47.00,2. 80.00,8. 40.00,5. 51.00,8. (40.00),2013,lead,WOMEN,8955
4,5,Fakhritdinova,Dinara,RUS,354.00,6. 47.00,4. 55.00,4. 55.00,,6. 47.00,4. 55.00,8. 40.00,4. 55.00,2013,lead,WOMEN,7576
5,6,Janicot,Hélène,FRA,340.00,9. 37.00,14. (24.00),10. 34.00,4. 55.00,5. 51.00,7. 43.00,4. 55.00,3. 65.00,2013,lead,WOMEN,9077
6,7,Noguchi,Akiyo,JPN,301.00,2. 80.00,7. 43.00,9. 37.00,7. 43.00,,5. 51.00,,6. 47.00,2013,lead,WOMEN,6326
7,8,Posch,Katharina,AUT,259.00,11. 31.00,9. 37.00,7. 43.00,11. 31.00,7. 43.00,11. 31.00,13. (26.00),7. 43.00,2013,lead,WOMEN,8896
8,9,Verhoeven,Anak,BEL,212.00,7. 43.00,5. 51.00,,5. 51.00,,6. 47.00,,16. 20.00,2013,lead,WOMEN,9867
9,10,van Bergen,Nikki,NED,206.00,21. 10.00,11. 31.00,6. 47.00,9. 37.00,13. 24.00,16. 20.00,21. (10.00),9. 37.00,2013,lead,WOMEN,8196
10,11,Bacher,Barbara,AUT,175.00,14. 24.00,18. 16.00,11. 31.00,18. (16.00),13. 24.00,10. 34.00,17. 18.00,12. 28.00,2013,lead,WOMEN,1030
11,12,Brumagne,Mathilde,BEL,170.00,25. 6.00,17. 18.00,,10. 34.00,9. 37.00,12. 28.00,9. 37.00,21. 10.00,2013,lead,WOMEN,6076
12,13,Kobayashi,Yuka,JPN,163.00,17. 18.00,16. 20.00,13. 26.00,13. 26.00,11. 29.00,15. 22.00,19. (14.00),15. 22.00,2013,lead,WOMEN,5254
13,14,Malamid,Evgeniia,RUS,137.00,10. 34.00,,,,11. 29.00,22. 9.00,6. 47.00,17. 18.00,2013,lead,WOMEN,5147
14,15,Lavarda,Jenny,ITA,115.00,22. 9.00,,,,10. 34.00,9. 37.00,30. 1.00,10. 34.00,2013,lead,WOMEN,1179
15,16,Vidmar,Maja,SLO,114.00,8. 40.00,6. 47.00,,,,,15. 22.00,26. 5.00,2013,lead,WOMEN,3482
16,17,Ota,Risa,JPN,106.00,,,8. 40.00,8. 40.00,,,,13. 26.00,2013,lead,WOMEN,9212
17,18,Chereshneva,Yana,RUS,99.00,,,12. 28.00,,8. 40.00,,12. 28.00,28. 3.00,2013,lead,WOMEN,6324
18,19,Pilz,Jessica,AUT,97.00,12. 28.00,13. 26.00,,,,,7. 43.00,,2013,lead,WOMEN,9970
19,20,Romain,Salomé,FRA,89.00,19. 14.00,10. 34.00,,,,13. 26.00,,18. 15.00,2013,lead,WOMEN,9985
20,21,Sustersic,Tina,SLO,88.00,26. 5.00,12. 28.00,,,25. 6.00,21. 10.00,11. 31.00,23. 8.00,2013,lead,WOMEN,8302
21,22,Stotz,Rebekka,SUI,87.00,15. 22.00,,,,,14. 24.00,10. 34.00,24. 7.00,2013,lead,WOMEN,8878
22,23,Saurwein,Katharina,AUT,82.00,,19. 14.00,15. 22.00,14. 24.00,,,16. 20.00,29. 2.00,2013,lead,WOMEN,5244
23,24,Hafsaas,Tina Johnsen,NOR,57.00,18. 16.00,26. 5.00,,,,20. 12.00,14. 24.00,,2013,lead,WOMEN,9239
24,25,Durif,Charlotte,FRA,51.00,,,,,,,,5. 51.00,2013,lead,WOMEN,6513
25,26,Onoe,Aya,JPN,48.00,13. 26.00,15. 22.00,,,,,,,2013,lead,WOMEN,9731
26,27,SA,Sol,KOR,47.00,,,,12. 28.00,,17. 18.00,,30. 1.00,2013,lead,WOMEN,9266
27,28,Choong,Katherine,SUI,39.00,24. 7.00,,,,,23. 8.00,,14. 24.00,2013,lead,WOMEN,6457
28,29,Stütz,Christina,AUT,37.00,,23. 8.00,,,,24. 7.00,18. 16.00,25. 6.00,2013,lead,WOMEN,7077
29,30,Sigrist,Manuela,SUI,34.00,30. 1.00,24. 7.00,,,,19. 14.00,20. 12.00,,2013,lead,WOMEN,6366
30,31,Serrière,Julia,FRA,31.00,,,,,,,,11. 31.00,2013,lead,WOMEN,8762
31,32,Ghisolfi,Claudia,ITA,25.00,,22. 9.00,,,,18. 16.00,,,2013,lead,WOMEN,10003
32,33,JIANG,Rong,CHN,24.00,,,18. 16.00,,23. 8.00,,,,2013,lead,WOMEN,9190
33,33,RENQING,LaMu,CHN,24.00,,,14. 24.00,,,,,,2013,lead,WOMEN,9191
34,33,Samoilina,Anastasiia,RUS,24.00,,,,,13. 24.00,,,,2013,lead,WOMEN,10281
35,36,Szekely,Andrea Brigitta,HUN,22.00,,,,15. 22.00,,,,,2013,lead,WOMEN,6696
36,37,Kalan,Tjasa,SLO,20.00,16. 20.00,,,,,,,,2013,lead,WOMEN,10826
37,37,Kim,Solah,KOR,20.00,,,,16. 20.00,,,,,2013,lead,WOMEN,10568
38,37,Tolokonina,Maria,RUS,20.00,,,,,16. 20.00,,,,2013,lead,WOMEN,5853
39,37,YOSHIMURA,Moe,JPN,20.00,,,16. 20.00,,,,,,2013,lead,WOMEN,10619
40,41,Gilemkhanova,Dana,RUS,19.00,,,,,21. 10.00,,,22. 9.00,2013,lead,WOMEN,10615
41,42,Cho,Haimi,KOR,18.00,,,,17. 18.00,,,,,2013,lead,WOMEN,11184
42,42,Lenardic,Jera,SLO,18.00,20. 12.00,,,,,,25. 6.00,,2013,lead,WOMEN,9471
43,42,Nonaka,Miho,JPN,18.00,23. 8.00,27. 4.00,,,,25. 6.00,,,2013,lead,WOMEN,12039
44,42,RenZeng,WangMu,CHN,18.00,,,17. 18.00,,,,,,2013,lead,WOMEN,10089
45,42,Tsyganova,Anna,RUS,18.00,,,,,17. 18.00,,,,2013,lead,WOMEN,8428
46,47,Kadic,Katja,SLO,17.00,,21. 10.00,,,,,24. 7.00,,2013,lead,WOMEN,9472
47,48,Golovina,Alexandra,RUS,16.00,,,,,18. 16.00,,,,2013,lead,WOMEN,7579
48,49,Chanourdie,Julia,FRA,15.00,,,,,,,,18. 15.00,2013,lead,WOMEN,9984
49,50,Belomestnova,Maria,RUS,14.00,,,,,19. 14.00,,,,2013,lead,WOMEN,1233
50,50,Kim,Seunghyun,KOR,14.00,,,,19. 14.00,,,,,2013,lead,WOMEN,11171
51,50,PAN,Xuhua,CHN,14.00,,,19. 14.00,,,,,,2013,lead,WOMEN,8787
52,53,Baehr,Hannah,GER,12.00,,,,,,27. 4.00,23. 8.00,,2013,lead,WOMEN,9837
53,53,Kümin,Andrea,SUI,12.00,,20. 12.00,,,,,,,2013,lead,WOMEN,10328
54,53,Song,Hannarai,KOR,12.00,,,,20. 12.00,,,,,2013,lead,WOMEN,9196
55,53,Stepanova,Nataliia,RUS,12.00,,,,,20. 12.00,,,,2013,lead,WOMEN,8984
56,57,Kim,Minseon,KOR,10.00,,,,21. 10.00,,,,,2013,lead,WOMEN,11187
57,58,Kazbekova,Ievgeniia,UKR,9.00,,,,,,,22. 9.00,,2013,lead,WOMEN,9956
58,58,Kim,Hyojung,KOR,9.00,,,,22. 9.00,,,,,2013,lead,WOMEN,9423
59,58,Novitskaia,Ekaterina,RUS,9.00,,,,,22. 9.00,,,,2013,lead,WOMEN,8979
60,61,Jeong,Jihyeon,KOR,8.00,,,,23. 8.00,,,,,2013,lead,WOMEN,10158
61,62,Bezborodova,Natalia,RUS,7.00,,,,,24. 7.00,,,,2013,lead,WOMEN,12411
62,62,Choi,Hanbin,KOR,7.00,,,,24. 7.00,,,,,2013,lead,WOMEN,12405
63,64,Hily,Manon,FRA,6.00,,25. 6.00,,,,,,,2013,lead,WOMEN,9756
64,64,Lee,Hyunsook,KOR,6.00,,,,25. 6.00,,,,,2013,lead,WOMEN,12404
65,64,Tiripa,Ana,GER,6.00,29. 2.00,,,,,,,27. 4.00,2013,lead,WOMEN,10742
66,67,Bertram,Denise,GER,5.00,,,,,,30. 1.00,27. 4.00,,2013,lead,WOMEN,6352
67,67,Fredman,Netta,ISR,5.00,28. 3.00,29. 2.00,,,,,,,2013,lead,WOMEN,9538
68,67,Holzmann,Patricia,GER,5.00,,,,,,26. 5.00,,,2013,lead,WOMEN,12043
69,67,Jeong,Woonwha,KOR,5.00,,,,26. 5.00,,,,,2013,lead,WOMEN,6788
70,67,Jubes Angarita,Eilleen,ESP,5.00,,,,,,,26. 5.00,,2013,lead,WOMEN,11774
