,Rank,Name,Name.1,Nation,Points,778,776,771,770,759,758,753,750,749,2005,event,gender,athlete_id
31,31,Hirayama,Yuji,JPN,49.00,,,,,,,,29. 2.00,6. 47.00,2005,lead,MEN,973
32,33,Dugit,Stephane,FRA,47.00,20. 12.00,21. 10.00,,24. 7.00,,18. 16.00,29. 2.00,,,2005,lead,MEN,809
33,34,Liu,Changzhong,CHN,40.00,,,8. 40.00,,,,,,,2005,lead,MEN,5403
34,35,Amma,Sachi,JPN,37.00,,,9. 37.00,,,,,,,2005,lead,MEN,7225
35,36,Repcik,Juraj,SVK,36.00,,,,,,,18. 16.00,,16. 20.00,2005,lead,MEN,446
36,37,Pouvreau,Gérome,FRA,34.00,,,,,,,10. 34.00,,,2005,lead,MEN,2833
37,38,Oleksy,Tomasz,POL,32.00,,,,,24. 7.00,,30. 1.00,,14. 24.00,2005,lead,MEN,906
38,39,Garbov,Kalin,BUL,31.00,,,,,,,,,11. 31.00,2005,lead,MEN,478
39,39,Kim,Jabee,KOR,31.00,,,,,11. 31.00,,,,,2005,lead,MEN,5799
40,41,Manzanedo,César Ciudad,ESP,30.00,,,,17. 18.00,,20. 12.00,,,,2005,lead,MEN,121
41,42,Munoz,Dmitri,FRA,29.00,,,,24. 7.00,27. 4.00,17. 18.00,,,,2005,lead,MEN,7154
42,43,Sommer,Remo,SUI,26.00,,,,,,14. 24.00,,29. 2.00,,2005,lead,MEN,3498
43,44,Sharafutdinov,Dmitrii,RUS,24.00,,,,,18. 16.00,,,,23. 8.00,2005,lead,MEN,5781
44,45,Legrand,Yannick,FRA,23.00,,28. 3.00,,,,25. 6.00,,19. 14.00,,2005,lead,MEN,976
45,46,Videnovski,Milen,BUL,22.00,,,,,,29. 2.00,,,16. 20.00,2005,lead,MEN,636
46,47,Badia,Nicolas,FRA,20.00,,18. 16.00,,,27. 4.00,,,,,2005,lead,MEN,6141
47,47,Marin Garcia,Eduard,ESP,20.00,,,,,,,27. 4.00,,18. 16.00,2005,lead,MEN,5185
48,47,Ozawa,Shinta,JPN,20.00,,,16. 20.00,,,,,,,2005,lead,MEN,5952
49,50,Bokhari,Hafzanizam,MAS,18.00,,,17. 18.00,,,,,,,2005,lead,MEN,5459
50,50,De Girolamo,Vincent,FRA,18.00,,17. 18.00,,,,,,,,2005,lead,MEN,3184
51,52,Magin,Philipp,GER,17.00,,,,,,21. 10.00,,25. 6.00,30. 1.00,2005,lead,MEN,3538
52,53,Cao,Rongwu,CHN,16.00,,,18. 16.00,,,,,,,2005,lead,MEN,5398
53,54,Lo Piccolo,Cédric,FRA,15.00,,,,,19. 14.00,,30. 1.00,,,2005,lead,MEN,141
54,55,Kaurov,Ivan,RUS,14.00,,,,,22. 9.00,,,,26. 5.00,2005,lead,MEN,5137
55,55,Ye,Xiangyang,CHN,14.00,,,19. 14.00,,,,,,,2005,lead,MEN,6397
56,57,Jaggi,Martin,SUI,13.00,27. 4.00,22. 9.00,,,,,,,,2005,lead,MEN,2535
57,58,Glairon Mondet,Guillaume,FRA,12.00,,20. 12.00,,,,,,,,2005,lead,MEN,3500
58,58,Koh,"Zher Yeow, Jay",SGP,12.00,,,20. 12.00,,,,,,,2005,lead,MEN,5744
59,60,Chu,Ka-Wai,HKG,10.00,,,21. 10.00,,,,,,,2005,lead,MEN,3692
60,60,Favresse,Olivier,BEL,10.00,,,,,,,,21. 10.00,,2005,lead,MEN,3209
61,60,Fichtinger,Reinhard,AUT,10.00,,,,,,,21. 10.00,,,2005,lead,MEN,757
62,60,Lalov,Boyko,BUL,10.00,,,,,,,,,21. 10.00,2005,lead,MEN,3687
63,60,Pringle,Ethan,USA,10.00,,,,,,21. 10.00,,,,2005,lead,MEN,3622
64,60,Son,Sangwon,KOR,10.00,,25. 6.00,,,27. 4.00,,,,,2005,lead,MEN,3394
65,66,Brenna,Cristian,ITA,9.00,,,,,,,,22. 9.00,,2005,lead,MEN,109
66,66,Jubes Angarita,Marco Antonio,ESP,9.00,,,,22. 9.00,,,,,,2005,lead,MEN,6937
67,66,Low,"Kien Seong, Francis",MAS,9.00,,,22. 9.00,,,,,,,2005,lead,MEN,4996
68,66,Min,Hyunbin,KOR,9.00,,,,,22. 9.00,,,,,2005,lead,MEN,7229
69,70,Chang,Yeu-Shiang,TPE,8.00,,,23. 8.00,,,,,,,2005,lead,MEN,7265
70,70,Ten Sijthoff,Casper,NED,8.00,,,,,,,,23. 8.00,,2005,lead,MEN,2560
71,72,Guerimand,Flavien,FRA,7.00,,,,24. 7.00,,,,,,2005,lead,MEN,3287
72,72,Jung,Daniel,GER,7.00,24. 7.00,,,,,,,,,2005,lead,MEN,5200
73,72,Kryvosheytsev,Yevgen,UKR,7.00,,24. 7.00,,,,,,,,2005,lead,MEN,227
74,72,Laurent,David,FRA,7.00,,,,,24. 7.00,,,,,2005,lead,MEN,5426
75,72,Lok,Chi-Wai,HKG,7.00,,,24. 7.00,,,,,,,2005,lead,MEN,140
76,72,Pagnoux,Romain,FRA,7.00,,28. 3.00,,,27. 4.00,,,,,2005,lead,MEN,5664
77,72,Perez,Luis Felix,ESP,7.00,,,,24. 7.00,,,,,,2005,lead,MEN,6226
78,79,Abu Hassan,Khairul Hafiz,MAS,6.00,,,25. 6.00,,,,,,,2005,lead,MEN,5936
79,79,Lazarov,Blagovest,BUL,6.00,,,,,,,,,25. 6.00,2005,lead,MEN,6656
80,79,Neumärker,Felix,GER,6.00,25. 6.00,,,,,,,,,2005,lead,MEN,5616
81,79,Wszolek,Marcin,POL,6.00,,,,,,,25. 6.00,,,2005,lead,MEN,2616
82,83,Avramov,Stefan,BUL,5.00,,,,,,,,,26. 5.00,2005,lead,MEN,6302
83,83,Huang,Kuo-Wei,TPE,5.00,,,26. 5.00,,,,,,,2005,lead,MEN,6395
84,83,Högström,Magnus,SWE,5.00,,26. 5.00,,,,,,,,2005,lead,MEN,3379
85,83,Pintar,Matevz,SLO,5.00,26. 5.00,,,,,,,,,2005,lead,MEN,5909
86,87,Kim,Jaha,KOR,4.00,,,,,27. 4.00,,,,,2005,lead,MEN,5830
87,87,Uzair,Muhamad,SGP,4.00,,,27. 4.00,,,,,,,2005,lead,MEN,5970
88,89,Gnerro,Alberto,ITA,3.00,,,,,,28. 3.00,,,,2005,lead,MEN,29
89,89,Gusak,Igor,UKR,3.00,,28. 3.00,,,,,,,,2005,lead,MEN,354
90,89,Kuess,Mario,AUT,3.00,28. 3.00,,,,,,,,,2005,lead,MEN,6114
91,89,Nastrog,Nicolas,FRA,3.00,,28. 3.00,,,,,,,,2005,lead,MEN,6110
92,89,Reis,Jürgen,AUT,3.00,,,,28. 3.00,,,,,,2005,lead,MEN,447
93,89,Schmid,Thomas,SUI,3.00,,,,,,,,28. 3.00,,2005,lead,MEN,4620
94,95,FUERTES OLLES,Daniel,ESP,2.00,,,,29. 2.00,,,,,,2005,lead,MEN,6210
95,95,Tsuiki,Takaaki,JPN,2.00,29. 2.00,,,,,,,,,2005,lead,MEN,923
96,97,Berezoski,André,BRA,1.00,,,,,,30. 1.00,,,,2005,lead,MEN,5703
97,97,Moreno De Los Huerto,Daniel,ESP,1.00,,,,30. 1.00,,,,,,2005,lead,MEN,5813
98,97,Tishchenko,Andriy,UKR,1.00,,,,,,,,,30. 1.00,2005,lead,MEN,6970
