,Rank,Name,Name.1,Nation,Points,651,652,649,648,647,646,642,637,669,2004,event,gender,athlete_id
0,1,Mrázek,Tomás,CZE,560.00,1. 100.00,2. 80.00,3. (65.00),2. 80.00,1. 100.00,1. 100.00,2. (80.00),2. (80.00),1. 100.00,2004,lead,MEN,3377
1,2,Chabot,Alexandre,FRA,516.00,5. 51.00,3. 65.00,1. 100.00,1. 100.00,19. (14.00),8. (40.00),1. 100.00,1. 100.00,9. (37.00),2004,lead,MEN,2825
2,3,Crespi,Flavio,ITA,333.00,11. (31.00),1. 100.00,9. 37.00,4. 55.00,6. 47.00,9. (37.00),5. 51.00,7. 43.00,,2004,lead,MEN,251
3,4,Petrenko,Maksym,UKR,322.00,16. (20.00),4. 55.00,28. (3.00),3. 65.00,2. 80.00,,6. 47.00,12. 28.00,6. 47.00,2004,lead,MEN,609
4,5,Usobiaga Lakunza,Patxi,ESP,317.00,4. 55.00,17. (18.00),23. (8.00),5. 51.00,3. 65.00,3. 65.00,10. 34.00,6. 47.00,27. (4.00),2004,lead,MEN,2550
5,6,Pouvreau,Gérome,FRA,291.00,,17. (18.00),24. (7.00),12. 28.00,5. 51.00,2. 80.00,13. 26.00,5. 51.00,4. 55.00,2004,lead,MEN,2833
6,7,Millet,Sylvain,FRA,268.00,17. (18.00),7. 43.00,,7. 43.00,4. 55.00,16. (20.00),3. 65.00,10. 34.00,12. 28.00,2004,lead,MEN,838
7,8,Fuselier,Michaël,FRA,249.00,15. (22.00),10. 34.00,4. 55.00,11. 31.00,14. (24.00),5. 51.00,6. 47.00,11. 31.00,,2004,lead,MEN,567
8,9,Verhoeven,Jorg,NED,248.00,3. 65.00,6. 47.00,13. 26.00,12. 28.00,11. 31.00,,17. (18.00),14. (24.00),5. 51.00,2004,lead,MEN,3115
9,10,Julian Puigblanque,Ramón,ESP,240.00,20. (12.00),22. (9.00),21. (10.00),6. 47.00,8. 40.00,17. 18.00,4. 55.00,8. 40.00,8. 40.00,2004,lead,MEN,3521
10,11,Bindhammer,Christian,GER,223.00,6. 47.00,16. 20.00,2. 80.00,12. 28.00,,13. 26.00,15. 22.00,19. (14.00),19. (14.00),2004,lead,MEN,112
11,12,Lachat,Cédric,SUI,222.00,,,,,,9. 37.00,8. 40.00,3. 65.00,2. 80.00,2004,lead,MEN,2583
12,13,Auclair,François,FRA,214.00,,,5. 51.00,,9. 37.00,11. 31.00,12. 28.00,29. 2.00,3. 65.00,2004,lead,MEN,245
