,Rank,Name,Name.1,Nation,Points,Kranj (L) 18.11.2006,Penne (L) 11.11.2006,Shanghai (L+S) 02.10.2006,Marbella (L) 16.09.2006,Kuala Lumpur (L+S) 12.08.2006,Singapore (L+S) 05.08.2006,Qinghai (L) 29.07.2006,Chamonix (L+S) 12.07.2006,Dresden (L+S) 19.05.2006,Puurs (L) 28.04.2006,2006,event,gender
82,79,Valsecchi,Manuela,ITA,6.00,,25. 6.00,,,,,,,,,2006,lead,WOMEN
83,84,Alekseeva,Kseniia,RUS,5.00,,,,,,,,26. 5.00,,,2006,lead,WOMEN
84,84,Karadağ,Evren,TUR,5.00,,,,26. 5.00,,,,,,,2006,lead,WOMEN
85,84,Mittelman,Irina,GER,5.00,,,,,,,,,,26. 5.00,2006,lead,WOMEN
86,87,Cintalova,Zuzana,SVK,4.00,27. 4.00,,,,,,,,,,2006,lead,WOMEN
87,87,Moosburger,Miriam,AUT,4.00,,,,,,,,27. 4.00,,,2006,lead,WOMEN
88,87,Policard,Michaelle,FRA,4.00,,,,,,,,27. 4.00,,,2006,lead,WOMEN
89,87,Ruchka,Natalia,UKR,4.00,,,,27. 4.00,,,,,,,2006,lead,WOMEN
90,87,Stergiakou,Chrysa,GRE,4.00,,27. 4.00,,,,,,,,,2006,lead,WOMEN
91,87,Uji,Ayu Sukmandiri,INA,4.00,,,,,,27. 4.00,,,,,2006,lead,WOMEN
92,87,Van Winckel,Valentine,BEL,4.00,,,,,,,,,,27. 4.00,2006,lead,WOMEN
93,94,Kerasidou,Stella,GRE,3.00,,28. 3.00,,,,,,,,,2006,lead,WOMEN
94,94,Neumärker,Luisa,GER,3.00,,,,,,,,,28. 3.00,,2006,lead,WOMEN
95,94,Ozver,Gurgel,TUR,3.00,,,,28. 3.00,,,,,,,2006,lead,WOMEN
96,97,Kudrova,Nelly,CZE,2.00,,,,,,,,,29. 2.00,,2006,lead,WOMEN
97,97,Piola,Anouk,SUI,2.00,,,,,,,,,,29. 2.00,2006,lead,WOMEN
98,97,Twyford,Emma,GBR,2.00,29. 2.00,,,,,,,,,,2006,lead,WOMEN
99,97,Yarsur,Duygu,TUR,2.00,,,,29. 2.00,,,,,,,2006,lead,WOMEN
100,101,Benetti,Lisa,ITA,1.00,,,,,,,,,,30. 1.00,2006,lead,WOMEN
101,101,Wurm,Juliane,GER,1.00,,,,,,,,,30. 1.00,,2006,lead,WOMEN
102,101,Xiang Lin,Soh,SGP,1.00,,,,,,30. 1.00,,,,,2006,lead,WOMEN
103,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,2006,lead,WOMEN
