,Rank,Name,Name.1,Nation,Points,1448,1452,1454,1449,1450,1465,1453,1451,2013,event,gender,athlete_id
0,1,Stöhr,Anna,AUT,700.00,1. 100.00,1. 100.00,1. 100.00,2. (80.00),1. 100.00,1. 100.00,1. 100.00,1. 100.00,2013,boulder,WOMEN,5630
1,2,Noguchi,Akiyo,JPN,480.00,9. (37.00),2. 80.00,2. 80.00,3. 65.00,4. 55.00,2. 80.00,3. 65.00,4. 55.00,2013,boulder,WOMEN,6326
2,3,Puccio,Alex,USA,438.00,2. 80.00,3. 65.00,3. 65.00,10. (29.00),7. 43.00,3. 65.00,4. 55.00,3. 65.00,2013,boulder,WOMEN,7286
3,4,Coxsey,Shauna,GBR,426.00,3. 65.00,4. 55.00,4. 55.00,10. (29.00),3. 65.00,4. 55.00,2. 80.00,5. 51.00,2013,boulder,WOMEN,8247
4,5,Wurm,Juliane,GER,345.00,13. 26.00,5. 51.00,7. 43.00,1. 100.00,,11. 31.00,5. 51.00,7. 43.00,2013,boulder,WOMEN,6064
5,6,Saurwein,Katharina,AUT,317.00,4. 55.00,7. 43.00,6. 47.00,10. (29.00),8. 38.00,6. 47.00,6. 47.00,8. 40.00,2013,boulder,WOMEN,5244
6,7,Oda,Momoka,JPN,313.00,,13. 26.00,5. 51.00,5. 51.00,10. 34.00,10. 34.00,9. 37.00,2. 80.00,2013,boulder,WOMEN,9097
7,8,Le Neve,Melissa,FRA,296.00,15. 22.00,8. 40.00,8. 40.00,4. 55.00,2. 80.00,9. 37.00,15. 22.00,15. (22.00),2013,boulder,WOMEN,9074
8,9,Leslie-Wujastyk,Mina,GBR,210.00,,11. 31.00,12. 28.00,9. 37.00,14. 24.00,12. 28.00,12. 28.00,10. 34.00,2013,boulder,WOMEN,9221
9,10,Markovic,Mina,SLO,204.00,10. 34.00,,,14. 24.00,5. 51.00,5. 51.00,18. 16.00,12. 28.00,2013,boulder,WOMEN,5169
10,11,Retschy,Monika,GER,196.00,11. 31.00,12. 28.00,10. 34.00,17. 18.00,18. (16.00),16. 20.00,17. 18.00,6. 47.00,2013,boulder,WOMEN,7641
11,12,Onoe,Aya,JPN,154.00,12. 28.00,10. 34.00,11. 31.00,6. 47.00,19. 14.00,,,,2013,boulder,WOMEN,9731
12,13,Crane,Leah,GBR,147.00,21. 9.00,14. 24.00,15. 22.00,26. 5.00,17. 18.00,13. 26.00,7. 43.00,,2013,boulder,WOMEN,6849
13,14,Sandoz,Mélanie,FRA,117.00,6. 47.00,16. 20.00,14. 24.00,,13. 26.00,,,,2013,boulder,WOMEN,6220
14,15,Iakovleva,Olga,RUS,116.00,,,,23. 7.00,15. 22.00,7. 43.00,16. 20.00,14. 24.00,2013,boulder,WOMEN,2807
15,16,Klingler,Petra,SUI,108.00,7. 43.00,,,10. 29.00,27. 3.00,14. 24.00,22. 9.00,,2013,boulder,WOMEN,6367
16,17,Johansen,Therese,NOR,96.00,,,,7. 43.00,11. 31.00,15. 22.00,,,2013,boulder,WOMEN,11713
17,18,Shemulinkina,Tatiana,RUS,89.00,,,,21. 9.00,16. 20.00,,8. 40.00,16. 20.00,2013,boulder,WOMEN,5155
18,19,Chevrier,Anne-Laure,FRA,81.00,,,,,6. 47.00,,10. 34.00,,2013,boulder,WOMEN,5636
19,20,Bacher,Sabine,AUT,72.00,,,,,12. 28.00,17. 18.00,13. 26.00,,2013,boulder,WOMEN,2821
20,21,Gallyamova,Anna,RUS,69.00,18. 16.00,,,8. 40.00,,19. 13.00,,,2013,boulder,WOMEN,5146
21,22,Kobayashi,Yuka,JPN,57.00,8. 40.00,,,,,18. 16.00,29. 1.00,,2013,boulder,WOMEN,5254
22,22,Shalagina,Olga,UKR,57.00,25. 5.00,,,,20. 12.00,8. 40.00,,,2013,boulder,WOMEN,3268
23,24,Chereshneva,Yana,RUS,54.00,17. 18.00,,,,,25. 5.00,,11. 31.00,2013,boulder,WOMEN,6324
24,25,Zijlstra,Vera,NED,53.00,,24. 7.00,9. 37.00,,21. 9.00,,,,2013,boulder,WOMEN,5641
25,26,Fakhritdinova,Dinara,RUS,51.00,5. 51.00,,,,,,,,2013,boulder,WOMEN,7576
26,26,Lavarda,Jenny,ITA,51.00,16. 20.00,,,15. 22.00,21. 9.00,,,,2013,boulder,WOMEN,1179
27,26,Sethna,Elise,CAN,51.00,,9. 37.00,19. 14.00,,,,,,2013,boulder,WOMEN,9138
28,29,KIM,Jain,KOR,49.00,,,,,,,20. 12.00,9. 37.00,2013,boulder,WOMEN,5983
29,30,Stotz,Rebekka,SUI,48.00,,,,,8. 38.00,27. 3.00,24. 7.00,,2013,boulder,WOMEN,8878
30,31,Payne,Angela,USA,47.00,,6. 47.00,,,,,,,2013,boulder,WOMEN,3322
31,32,SA,Sol,KOR,45.00,,,,,,21. 9.00,21. 10.00,13. 26.00,2013,boulder,WOMEN,9266
