,Rank,Name,Name.1,Nation,Points,Laval 27.06.2014,Haiyang 20.06.2014,Vail 06.06.2014,Toronto 31.05.2014,Innsbruck 16.05.2014,Grindelwald 10.05.2014,Baku 03.05.2014,Chongqing 26.04.2014,2014,event,gender
39,40,Bärtschi,Natalie,SUI,25.00,19. 13.00,,,,,20. 12.00,,,2014,boulder,WOMEN
40,40,Midtboe,Hannah,NOR,25.00,21. 9.00,,,,18. 16.00,,,,2014,boulder,WOMEN
41,42,Ebner,Andrea,ITA,24.00,27. 3.00,,,,17. 18.00,27. 3.00,,,2014,boulder,WOMEN
42,42,Kim,Seunghyun,KOR,24.00,,14. 24.00,,,,,,,2014,boulder,WOMEN
43,44,Matsushima,Yuki,JPN,23.00,,17. 17.00,,,,,25. 6.00,,2014,boulder,WOMEN
44,44,McKeehan,Grace,USA,23.00,,,27. 4.00,,,,19. 14.00,26. 5.00,2014,boulder,WOMEN
45,46,Bresnan,Claire,USA,22.00,,,25. 6.00,25. 6.00,,,22. 9.00,30. 1.00,2014,boulder,WOMEN
46,46,Kotake,Mei,JPN,22.00,,,29. 2.00,20. 12.00,,,,23. 8.00,2014,boulder,WOMEN
47,46,RenZeng,WangMu,CHN,22.00,,16. 20.00,,,,,,29. 2.00,2014,boulder,WOMEN
48,46,Shemulinkina,Tatiana,RUS,22.00,,,,,,,15. 22.00,,2014,boulder,WOMEN
49,50,Kobayashi,Yuka,JPN,20.00,,,,,,,,16. 20.00,2014,boulder,WOMEN
50,51,Rekabi,Elnaz,IRI,19.00,,,,,,,16. 19.00,,2014,boulder,WOMEN
51,52,Kadic,Katja,SLO,18.00,,,,,,17. 18.00,,,2014,boulder,WOMEN
52,53,Syarifah,Abdul Rohma,INA,17.00,,17. 17.00,,,,,,,2014,boulder,WOMEN
53,54,Hayes,Margo,USA,16.00,,,18. 16.00,,,,,,2014,boulder,WOMEN
54,54,Kipriianova,Ekaterina,RUS,16.00,,,,,,,18. 16.00,,2014,boulder,WOMEN
55,56,Hawkins,Miura,USA,15.00,25. 5.00,,,,,27. 3.00,24. 7.00,,2014,boulder,WOMEN
56,57,Buhrfeind,Claire,USA,14.00,,,,19. 14.00,,,,,2014,boulder,WOMEN
57,57,Chiu,"Chi-Heng, Sharon",HKG,14.00,,19. 14.00,,,,,,,2014,boulder,WOMEN
58,57,Lee,Hung Ying,TPE,14.00,,,,,,,,19. 14.00,2014,boulder,WOMEN
59,57,Miller,Delaney,USA,14.00,,,19. 14.00,,,,,,2014,boulder,WOMEN
60,61,Sinnhuber,Karoline,AUT,13.00,19. 13.00,,,,,,,,2014,boulder,WOMEN
61,62,Caulier,Chloe,BEL,12.00,23. 7.00,,,,,25. 5.00,,,2014,boulder,WOMEN
