,Rank,Name,Name.1,Nation,Points,7935,7932,7959,7929,7926,7923,2019,event,gender,athlete_id
0,1,Narasaki,Tomoa,JPN,340.00,2. 80.00,,1. 100.00,2. 80.00,,2. 80.00,2019,boulder,MEN,10618
1,2,Ondra,Adam,CZE,335.00,5. 51.00,2. 80.00,14. 24.00,,2. 80.00,1. 100.00,2019,boulder,MEN,8372
2,3,Ogata,Yoshiyuki,JPN,264.00,1. 100.00,15. 22.00,9. 37.00,29. (1.00),3. 65.00,8. 40.00,2019,boulder,MEN,12501
3,4,CHON,Jongwon,KOR,228.00,3. 65.00,6. 47.00,11. 31.00,15. (22.00),10. 34.00,5. 51.00,2019,boulder,MEN,11183
4,5,Fujii,Kokoro,JPN,227.00,9. 37.00,,5. 51.00,6. 47.00,9. 37.00,4. 55.00,2019,boulder,MEN,10172
5,6,Hojer,Jan,GER,223.00,4. 55.00,3. 65.00,6. 47.00,12. 28.00,12. 28.00,21. (9.00),2019,boulder,MEN,6623
6,7,Rubtsov,Aleksey,RUS,214.00,,4. 55.00,10. 34.00,5. 51.00,11. 31.00,7. 43.00,2019,boulder,MEN,9046
7,8,Peharc,Anze,SLO,205.00,,5. 51.00,20. 12.00,3. 65.00,4. 55.00,15. 22.00,2019,boulder,MEN,10825
8,9,Kruder,Jernej,SLO,191.00,21. 9.00,11. 31.00,16. 20.00,,1. 100.00,11. 31.00,2019,boulder,MEN,6488
9,10,Schubert,Jakob,AUT,184.00,,1. 100.00,3. 65.00,18. 16.00,27. 3.00,,2019,boulder,MEN,6550
10,11,Sugimoto,Rei,JPN,174.00,27. 3.00,,7. 43.00,7. 43.00,16. 20.00,3. 65.00,2019,boulder,MEN,7465
11,12,Harada,Kai,JPN,148.00,12. 28.00,,2. 80.00,11. 31.00,,21. 9.00,2019,boulder,MEN,14023
12,13,Cornu,Manuel,FRA,143.00,,,,1. 100.00,7. 43.00,,2019,boulder,MEN,11091
13,14,Ishimatsu,Taisei,JPN,136.00,7. 43.00,20. 12.00,23. (7.00),13. 26.00,17. 18.00,9. 37.00,2019,boulder,MEN,57094
14,15,Vezonik,Gregor,SLO,121.00,,8. 40.00,15. 22.00,8. 40.00,23. 7.00,20. 12.00,2019,boulder,MEN,9787
15,16,Takata,Tomoaki,JPN,117.00,11. 31.00,18. 16.00,,21. 9.00,19. 14.00,6. 47.00,2019,boulder,MEN,11739
16,17,Pan,YuFei,CHN,112.00,,12. 28.00,8. 40.00,21. 9.00,21. 9.00,13. 26.00,2019,boulder,MEN,12940
17,18,Dohi,Keita,JPN,109.00,16. 20.00,,4. 55.00,,,10. 34.00,2019,boulder,MEN,14032
18,18,Megos,Alexander,GER,109.00,13. 26.00,10. 34.00,,23. 7.00,15. 22.00,16. 20.00,2019,boulder,MEN,9058
19,20,Coleman,Nathaniel,USA,104.00,8. 40.00,,12. 28.00,17. 18.00,,17. 18.00,2019,boulder,MEN,12601
20,21,McColl,Sean,CAN,87.00,6. 47.00,21. 9.00,,14. 24.00,,24. 7.00,2019,boulder,MEN,5089
21,22,Kawamata,Rei,JPN,82.00,15. 22.00,,,,5. 51.00,21. 9.00,2019,boulder,MEN,66836
22,23,Reuser,Tim,NED,80.00,,7. 43.00,,,21. 9.00,12. 28.00,2019,boulder,MEN,8870
23,24,Khazanov,Alex,ISR,72.00,,21. 9.00,23. 7.00,16. 20.00,20. 12.00,14. 24.00,2019,boulder,MEN,9537
24,25,Flohé,Yannick,GER,64.00,19. 14.00,,21. 9.00,10. 34.00,23. 7.00,,2019,boulder,MEN,12604
25,26,Timonov,Vadim,RUS,62.00,,,19. 14.00,29. 1.00,6. 47.00,,2019,boulder,MEN,7575
26,27,Lehmann,Sascha,SUI,60.00,,,,4. 55.00,25. 5.00,,2019,boulder,MEN,10951
27,28,Narasaki,Meichi,JPN,59.00,10. 34.00,,17. 17.00,23. 7.00,,29. 1.00,2019,boulder,MEN,12432
28,29,INOUE,Yuji,JPN,58.00,,17. 18.00,,,8. 40.00,,2019,boulder,MEN,57190
29,30,Mawem,Mickael,FRA,56.00,,,,9. 37.00,18. 16.00,27. 3.00,2019,boulder,MEN,12720
30,31,Levier,Alban,FRA,55.00,,19. 14.00,17. 17.00,,14. 24.00,,2019,boulder,MEN,10922
31,32,Phillips,Nathan,GBR,53.00,,14. 24.00,25. 5.00,25. 5.00,25. 5.00,19. 14.00,2019,boulder,MEN,10709
32,33,Piccolruaz,Michael,ITA,45.00,,9. 37.00,25. 5.00,,,27. 3.00,2019,boulder,MEN,9514
33,34,Skorodumov,Sergei,RUS,34.00,,25. 5.00,13. 26.00,27. 3.00,,,2019,boulder,MEN,9924
34,35,Iarilovets,Nikolai,RUS,27.00,,,29. 1.00,,13. 26.00,,2019,boulder,MEN,13545
35,36,Uznik,Nicolai,AUT,26.00,,13. 26.00,,,,,2019,boulder,MEN,12666
36,37,McQueen,Sam,USA,24.00,14. 24.00,,,,,,2019,boulder,MEN,73912
37,38,Ridal,William,GBR,20.00,,16. 20.00,,,,,2019,boulder,MEN,10493
38,39,Bailey,Sean,USA,19.00,18. 16.00,,,27. 3.00,,,2019,boulder,MEN,10775
39,40,Ternant,Arthur,FRA,18.00,17. 18.00,,,,,,2019,boulder,MEN,12833
