,Rank,Name,Name.1,Nation,Points,1528,1527,1530,1524,1525,1552,1518,2014,event,gender,athlete_id
0,1,Boldyrev,Danyil,UKR,461.00,10. (34.00),3. 65.00,5. 51.00,1. 100.00,3. 65.00,1. 100.00,2. 80.00,2014,speed,MEN,7964
1,2,Hroza,Libor,CZE,419.00,2. 80.00,2. 80.00,1. 100.00,7. 43.00,8. (40.00),5. 51.00,3. 65.00,2014,speed,MEN,5651
2,3,Dzienski,Marcin,POL,402.00,8. 40.00,1. 100.00,4. 55.00,2. 80.00,2. 80.00,11. (31.00),6. 47.00,2014,speed,MEN,8525
3,4,Zhong,QiXin,CHN,365.00,1. 100.00,,16. 20.00,8. 40.00,1. 100.00,3. 65.00,8. 40.00,2014,speed,MEN,7994
4,5,Mawem,Bassa,FRA,361.00,3. 65.00,4. 55.00,2. 80.00,4. 55.00,7. (43.00),4. 55.00,5. 51.00,2014,speed,MEN,6
5,6,Kokorin,Stanislav,RUS,339.00,4. 55.00,7. 43.00,6. 47.00,16. (20.00),6. 47.00,6. 47.00,1. 100.00,2014,speed,MEN,8560
6,7,Vaitsekhovskii,Evgenii,RUS,312.00,6. 47.00,5. 51.00,15. (22.00),14. 24.00,4. 55.00,2. 80.00,4. 55.00,2014,speed,MEN,6132
7,8,Shevchenko,Arsenii,RUS,247.00,7. 43.00,6. 47.00,7. 43.00,10. 34.00,9. 37.00,7. 43.00,11. (31.00),2014,speed,MEN,9700
8,9,Nambot,Quentin,FRA,165.00,9. 37.00,9. 37.00,8. 40.00,5. 51.00,,,,2014,speed,MEN,9771
9,10,Gontero,Leonardo,ITA,124.00,,,9. 37.00,11. 31.00,,10. 34.00,15. 22.00,2014,speed,MEN,9436
10,11,Gontaryk,Yaroslav,UKR,120.00,,,14. 24.00,19. 13.00,,8. 40.00,7. 43.00,2014,speed,MEN,9039
11,12,Santoni,Alessandro,ITA,112.00,,,3. 65.00,6. 47.00,,,,2014,speed,MEN,10004
12,13,Stewart-Patterson,Robert,CAN,109.00,13. 26.00,8. 40.00,22. 9.00,17. 18.00,,,18. 16.00,2014,speed,MEN,9606
13,14,Shikov,Aleksandr,RUS,107.00,5. 51.00,,12. 28.00,12. 28.00,,,,2014,speed,MEN,10856
14,15,Komosinski,Jedrzej,POL,101.00,,,11. 31.00,18. 16.00,,12. 28.00,13. 26.00,2014,speed,MEN,6980
15,16,Alipourshenazandifar,Reza,IRI,89.00,,,,3. 65.00,,14. 24.00,,2014,speed,MEN,10635
16,17,Jaelolo,Aspar,INA,85.00,,,,,5. 51.00,,10. 34.00,2014,speed,MEN,11470
17,18,LE COUSTER,Yoann,FRA,82.00,,,17. 18.00,15. 22.00,,17. 18.00,14. 24.00,2014,speed,MEN,8088
18,19,Timofeev,Dmitrii,RUS,81.00,,,21. 10.00,9. 37.00,10. 34.00,,,2014,speed,MEN,10851
19,20,Sinitcyn,Sergei,RUS,74.00,,,,,13. 26.00,16. 20.00,12. 28.00,2014,speed,MEN,5141
20,21,Poliakov,Anton,RUS,69.00,,,,21. 10.00,,15. 22.00,9. 37.00,2014,speed,MEN,11061
21,22,Deulin,Vladislav,RUS,65.00,,,13. 26.00,19. 13.00,,13. 26.00,,2014,speed,MEN,10613
22,22,Shilov,Aleksandr,RUS,65.00,11. 31.00,10. 34.00,,,,,,2014,speed,MEN,12994
23,24,Chae,Sungjoon,KOR,55.00,,11. 31.00,,,14. 24.00,,,2014,speed,MEN,10107
24,25,Savelyev,Artem,RUS,46.00,12. 28.00,17. 18.00,,,,,,2014,speed,MEN,8980
25,26,Choi,Seungbin,KOR,42.00,,14. 24.00,,,17. 18.00,,,2014,speed,MEN,9199
26,26,Kim,Hyunjae,KOR,42.00,,15. 22.00,,,16. 20.00,,,2014,speed,MEN,12690
27,26,Zhong,Lincai,CHN,42.00,,,23. 8.00,,19. 14.00,,16. 20.00,2014,speed,MEN,10234
28,29,McColl,Sean,CAN,41.00,15. 22.00,26. 5.00,29. 2.00,,20. 12.00,,,2014,speed,MEN,5089
29,30,Swirk,Lukasz,POL,37.00,,,,,,9. 37.00,,2014,speed,MEN,8200
30,31,Kim,Hongil,KOR,36.00,,16. 20.00,,,18. 16.00,,,2014,speed,MEN,9197
31,32,Estevez,Isaac,ECU,34.00,,,10. 34.00,,,,,2014,speed,MEN,8639
32,33,Kim,Jungju,KOR,32.00,14. 24.00,23. 8.00,,,,,,2014,speed,MEN,12809
33,34,Fajri,Ashari,INA,31.00,,,,,11. 31.00,,,2014,speed,MEN,11860
34,35,Vedenchuk,Viacheslav,RUS,29.00,,,,24. 7.00,15. 22.00,,,2014,speed,MEN,8976
35,36,KU,Seongyeop,KOR,28.00,,12. 28.00,,,,,,2014,speed,MEN,13047
36,36,Winoto,Ardi,INA,28.00,,,,,12. 28.00,,,2014,speed,MEN,12710
37,38,Cho,Seungwoon,KOR,26.00,,13. 26.00,,,,,,2014,speed,MEN,8509
38,38,Maimuratov,Amir,KAZ,26.00,,,,13. 26.00,,,,2014,speed,MEN,9619
39,40,Fossali,Ludovico,ITA,21.00,,,20. 12.00,22. 9.00,,,,2014,speed,MEN,10596
40,41,Ma,ZiDa,CHN,20.00,16. 20.00,,,,,,,2014,speed,MEN,9415
41,42,Raksachat,Thattana,THA,19.00,,24. 7.00,,,,,20. 12.00,2014,speed,MEN,10560
42,43,Khaibullin,Rishat,KAZ,18.00,,,,,,,17. 18.00,2014,speed,MEN,9567
43,44,Halasa,Rafal,POL,16.00,,,18. 16.00,,,,,2014,speed,MEN,9494
44,44,Kwon,Daehyeon,KOR,16.00,,18. 16.00,,,,,,2014,speed,MEN,13048
45,44,Shafiee,Mohsen,IRI,16.00,,,,,,18. 16.00,,2014,speed,MEN,10439
46,47,Artaui,Terdpol,THA,15.00,,25. 6.00,,,,,22. 9.00,2014,speed,MEN,10557
47,48,Chartolani,Gogi,GEO,14.00,,,,,,19. 14.00,,2014,speed,MEN,12118
48,48,Denis,Karol,POL,14.00,,,25. 6.00,23. 8.00,,,,2014,speed,MEN,10397
49,48,KIM,Hanwool,KOR,14.00,,19. 14.00,,,,,,2014,speed,MEN,8503
50,48,Pillai,Bryan Amias,SGP,14.00,,,,,,,19. 14.00,2014,speed,MEN,12463
51,48,Zinchenko,Volodymyr,UKR,14.00,,,19. 14.00,,,,,2014,speed,MEN,9659
52,53,Jankhoteli,Giga,GEO,12.00,,,,,,20. 12.00,,2014,speed,MEN,10510
53,53,Park,Gwansu,KOR,12.00,,20. 12.00,,,,,,2014,speed,MEN,13052
54,55,Lewicki,Michal,POL,11.00,,,24. 7.00,26. 4.00,,,,2014,speed,MEN,10393
55,55,Pasqua,Tommaso,ITA,11.00,,,26. 5.00,25. 6.00,,,,2014,speed,MEN,12731
56,57,Her,Youngwook,KOR,10.00,,21. 10.00,,,,,,2014,speed,MEN,12403
57,57,Mukbaniani,Giorgi,GEO,10.00,,,,,,21. 10.00,,2014,speed,MEN,12554
58,57,Ruangrit,Winai,THA,10.00,,,,,,,21. 10.00,2014,speed,MEN,10556
59,60,Khutsishvili,Mamuka,GEO,9.00,,,,,,22. 9.00,,2014,speed,MEN,12054
60,60,Son,Donggyu,KOR,9.00,,22. 9.00,,,,,,2014,speed,MEN,12460
61,62,Rahimkhanov,Ramel,AZE,8.00,,,,,,23. 8.00,,2014,speed,MEN,11445
62,63,Shahbalaye,Zohrab,AZE,7.00,,,,,,24. 7.00,,2014,speed,MEN,11002
63,64,Taghizade,Chingiz,AZE,6.00,,,,,,25. 6.00,,2014,speed,MEN,11443
64,65,Bunprakop,Phanuphong,THA,4.00,,27. 4.00,,,,,,2014,speed,MEN,12482
65,65,Sordyl,Tomasz,POL,4.00,,,,26. 4.00,,,,2014,speed,MEN,10586
66,65,Zama,Stanislao,ITA,4.00,,,27. 4.00,,,,,2014,speed,MEN,11250
67,68,Erber,Matthias,AUT,3.00,,,28. 3.00,,,,,2014,speed,MEN,12077
68,68,Levier,Alban,FRA,3.00,,,,28. 3.00,,,,2014,speed,MEN,10922
69,68,Thanakornkul,Supasan,THA,3.00,,28. 3.00,,,,,,2014,speed,MEN,12483
70,71,Burian,Petr,CZE,2.00,,,,29. 2.00,,,,2014,speed,MEN,12535
71,72,Bosler,Joshua,GER,1.00,,,,30. 1.00,,,,2014,speed,MEN,10378
72,72,Manosalvas,Josue,ECU,1.00,,,30. 1.00,,,,,2014,speed,MEN,10266
