,Rank,Name,Name.1,Nation,Points,Edinburgh 04.12.2003,Shenzen 21.11.2003,Kranj 14.11.2003,Valence 31.10.2003,Prague 11.10.2003,Aprica 03.10.2003,Aviles 22.08.2003,Lecco 28.06.2003,Yekaterinburg D+S 06.06.2003,Imst 23.05.2003,2003,event,gender
0,1,Sarkany,Muriel,BEL,645.00,4. (55.00),1. 100.00,1. 100.00,2. 80.00,5. (51.00),3. 65.00,1. 100.00,1. 100.00,4. (55.00),1. 100.00,2003,lead,WOMEN
1,2,Levet,Sandrine,FRA,570.00,1. 100.00,3. 65.00,3. 65.00,3. (65.00),1. 100.00,2. 80.00,2. 80.00,15. (22.00),,2. 80.00,2003,lead,WOMEN
2,3,Eiter,Angela,AUT,546.00,5. 51.00,2. 80.00,2. 80.00,1. 100.00,2. 80.00,1. 100.00,,7. (43.00),,4. 55.00,2003,lead,WOMEN
3,4,Minoret,Chloé,FRA,425.00,2. 80.00,7. 43.00,13. (26.00),5. 51.00,,4. 55.00,12. (28.00),11. 31.00,1. 100.00,3. 65.00,2003,lead,WOMEN
4,5,Bacher,Barbara,AUT,329.00,,5. 51.00,4. 55.00,5. 51.00,4. 55.00,7. 43.00,10. 34.00,12. (28.00),,8. 40.00,2003,lead,WOMEN
5,6,Ciavaldini,Caroline,FRA,327.00,11. 31.00,12. (28.00),5. 51.00,4. 55.00,3. 65.00,5. 51.00,9. 37.00,13. (26.00),,9. 37.00,2003,lead,WOMEN
6,7,Cufar,Martina,SLO,319.00,7. 43.00,,11. 31.00,17. 18.00,,11. 31.00,3. 65.00,2. 80.00,,5. 51.00,2003,lead,WOMEN
7,8,Knorr,Damaris,GER,297.00,8. 40.00,4. 55.00,10. 34.00,14. (24.00),6. 47.00,8. 40.00,4. 55.00,24. (7.00),,13. 26.00,2003,lead,WOMEN
8,9,Lavarda,Jenny,ITA,291.00,18. (16.00),11. 31.00,17. (18.00),7. 43.00,11. 31.00,15. (22.00),4. 55.00,6. 47.00,9. 37.00,6. 47.00,2003,lead,WOMEN
9,10,Eyer,Alexandra,SUI,290.00,12. 28.00,6. 47.00,8. 40.00,,,6. 47.00,4. 55.00,5. 51.00,,15. 22.00,2003,lead,WOMEN
10,11,schöpf,Bettina,AUT,237.00,,,,,8. 40.00,10. 34.00,4. 55.00,3. 65.00,,7. 43.00,2003,lead,WOMEN
11,12,Vidmar,Maja,SLO,235.00,3. 65.00,,7. 43.00,13. 26.00,19. 14.00,20. (12.00),,18. 16.00,10. 34.00,9. 37.00,2003,lead,WOMEN
12,13,Martin,Delphine,FRA,225.00,10. 34.00,,14. 24.00,11. 31.00,7. 43.00,17. 18.00,16. 20.00,4. 55.00,,17. (18.00),2003,lead,WOMEN
13,14,Pouget,Emilie,FRA,201.00,,,,,,16. 20.00,8. 40.00,14. 24.00,2. 80.00,9. 37.00,2003,lead,WOMEN
14,15,Franko,Lucka,SLO,181.00,6. 47.00,,9. 37.00,10. 34.00,12. 28.00,21. 10.00,,30. 1.00,,14. 24.00,2003,lead,WOMEN
15,16,Kysilkova,Tereza,CZE,177.00,19. 14.00,13. 26.00,,20. 12.00,13. 26.00,12. 28.00,11. 31.00,8. 40.00,,27. (4.00),2003,lead,WOMEN
16,17,Vidmar,Katja,SLO,170.00,13. 26.00,,12. 28.00,12. 28.00,10. 34.00,19. 14.00,14. 24.00,18. 16.00,,,2003,lead,WOMEN
17,18,Raffetseder,Gerda,AUT,165.00,17. 18.00,9. 37.00,18. 16.00,,13. 26.00,26. 5.00,26. (5.00),26. (5.00),7. 43.00,16. 20.00,2003,lead,WOMEN
18,19,Nilsson,Ingela,SWE,137.00,13. 26.00,10. 34.00,22. 9.00,24. (7.00),17. 18.00,22. 9.00,21. 10.00,,11. 31.00,24. (7.00),2003,lead,WOMEN
19,20,Kosmac,Ana,SLO,120.00,23. 8.00,,14. 24.00,,16. 20.00,9. 37.00,,28. 3.00,,12. 28.00,2003,lead,WOMEN
20,21,Hnizdilova,Sona,CZE,83.00,,19. 14.00,,27. 4.00,9. 37.00,,19. 14.00,,,19. 14.00,2003,lead,WOMEN
21,22,Bibik,Olga,RUS,81.00,,,,,,,,18. 16.00,3. 65.00,,2003,lead,WOMEN
22,23,Ostapenko,Olena,UKR,74.00,,,,,23. 8.00,13. 26.00,,,8. 40.00,,2003,lead,WOMEN
23,24,Saurwein,Katharina,AUT,73.00,13. 26.00,,6. 47.00,,,,,,,,2003,lead,WOMEN
24,25,Iakovleva,Olga,RUS,67.00,,,,,,,,18. 16.00,5. 51.00,,2003,lead,WOMEN
25,26,Stendal,Linn Karin,NOR,65.00,13. 26.00,,20. 12.00,22. 9.00,,,,,18. 16.00,29. 2.00,2003,lead,WOMEN
26,27,Louis,Stéphanie,SUI,57.00,,,16. 20.00,16. 20.00,,18. 16.00,,,,30. 1.00,2003,lead,WOMEN
27,28,Raveyre,Emmanuelle,FRA,55.00,20. 12.00,,,19. 14.00,,,24. 7.00,15. 22.00,,,2003,lead,WOMEN
28,29,Cintalova,Zuzana,SVK,51.00,,,19. 14.00,,18. 16.00,,,26. 5.00,,18. 16.00,2003,lead,WOMEN
29,30,Chereshneva,Venera,RUS,47.00,,,,,,,,,6. 47.00,,2003,lead,WOMEN
30,31,Go,Mi-Sun,KOR,46.00,25. 6.00,8. 40.00,,,,,,,,,2003,lead,WOMEN
31,31,Huang,Li-Ping,CHN,46.00,,14. 24.00,,18. 16.00,,25. 6.00,,,,,2003,lead,WOMEN
32,33,Dufraisse,Alizée,FRA,40.00,,,,8. 40.00,,,,,,,2003,lead,WOMEN
33,33,Podgorbounskikh,Zosia,RUS,40.00,,16. 20.00,,,,,,,16. 20.00,,2003,lead,WOMEN
34,35,Ruh,Nadine,GER,38.00,,,,,,,15. 22.00,18. 16.00,,,2003,lead,WOMEN
35,36,Creamer,Lucy,GBR,37.00,9. 37.00,,,,,,,,,,2003,lead,WOMEN
36,36,Pinet,Florence,FRA,37.00,,,,9. 37.00,,,,,,,2003,lead,WOMEN
37,36,Sansoz,Liv,FRA,37.00,,,,,,,,9. 37.00,,,2003,lead,WOMEN
38,39,Iovane,Luisa,ITA,36.00,,,,,,23. 8.00,,18. 16.00,,20. 12.00,2003,lead,WOMEN
39,39,Muñoz,Eva Elez,ESP,36.00,,,,,,14. 24.00,20. 12.00,,,,2003,lead,WOMEN
40,41,Harrington,Emily,USA,34.00,,,,,,,,10. 34.00,,,2003,lead,WOMEN
41,41,Malamid,Evgeniia,RUS,34.00,,,,,,,,,14. 24.00,21. 10.00,2003,lead,WOMEN
42,41,Mathieu,Laure,FRA,34.00,22. 9.00,,,26. 5.00,,,16. 20.00,,,,2003,lead,WOMEN
43,44,Knabl,Sabine,AUT,33.00,24. 7.00,,,,21. 10.00,28. 3.00,23. 8.00,,,26. 5.00,2003,lead,WOMEN
44,45,Elez,Eva,ESP,32.00,,,,21. 10.00,15. 22.00,,,,,,2003,lead,WOMEN
45,46,Zeilemaker,Monica,NED,31.00,21. 10.00,17. 18.00,,,,,28. 3.00,,,,2003,lead,WOMEN
46,47,Rymcha,Natalia,RUS,28.00,,,,,,,,,12. 28.00,,2003,lead,WOMEN
47,48,Balakireva,Alexandra,RUS,26.00,,,,,,,,,13. 26.00,,2003,lead,WOMEN
48,48,Benetti,Lisa,ITA,26.00,,,,,,,,17. 18.00,,23. 8.00,2003,lead,WOMEN
49,48,CRUZ MONTALBAN,Esther,ESP,26.00,,,,,,,13. 26.00,,,,2003,lead,WOMEN
50,51,Liu,Hiu Ying,HKG,22.00,,15. 22.00,,,,,,,,,2003,lead,WOMEN
51,51,Ruyga,Tatiana,RUS,22.00,,,,,,,,,15. 22.00,,2003,lead,WOMEN
52,51,Son,Mélanie,FRA,22.00,,,,15. 22.00,,,,,,,2003,lead,WOMEN
53,54,Martin Sancho,Berta,ESP,20.00,,,,,,,16. 20.00,,,,2003,lead,WOMEN
54,55,Korolkova,Ekaterina,RUS,18.00,,,,,,,,,17. 18.00,,2003,lead,WOMEN
55,56,Saulevich,Olesya,RUS,16.00,,18. 16.00,,,,,,,,,2003,lead,WOMEN
56,57,Huang,Bai-Le,TPE,15.00,30. 1.00,,26. 5.00,,25. 6.00,28. 3.00,,,,,2003,lead,WOMEN
57,58,Ryzhkova,Margarita,RUS,14.00,,,,,,,,,19. 14.00,,2003,lead,WOMEN
58,59,Flores,Elaina Kristine Ap,PHI,12.00,,20. 12.00,,,,,,,,,2003,lead,WOMEN
59,59,Rajfova,Lucie,CZE,12.00,,,,,20. 12.00,,,,,,2003,lead,WOMEN
60,61,Bacher,Sabine,AUT,11.00,27. 4.00,,,,24. 7.00,,,,,,2003,lead,WOMEN
61,61,Lagoffun,Sarah,FRA,11.00,,,,27. 4.00,,24. 7.00,,,,,2003,lead,WOMEN
62,61,Lipenska,Helena,CZE,11.00,,,,,26. 5.00,,,,,25. 6.00,2003,lead,WOMEN
63,64,Cintalova,Katarina,SVK,10.00,,,,,21. 10.00,,,,,,2003,lead,WOMEN
64,64,Li,Chunhua,CHN,10.00,,25. 6.00,,,,27. 4.00,,,,,2003,lead,WOMEN
65,64,Ribnikar,Masa,SLO,10.00,,,21. 10.00,,,,,,,,2003,lead,WOMEN
66,64,Yuniar,Yuyun,INA,10.00,,21. 10.00,,,,,,,,,2003,lead,WOMEN
67,68,Käyhkö,Janina,FIN,9.00,,,,,,,,,,22. 9.00,2003,lead,WOMEN
68,68,Lopez Rivera,Eva,ESP,9.00,,,,,,,22. 9.00,,,,2003,lead,WOMEN
69,68,Zhang,Qing,CHN,9.00,,22. 9.00,,,,,,,,,2003,lead,WOMEN
70,71,Didillion,Aurelie,FRA,8.00,,,,23. 8.00,,,,,,,2003,lead,WOMEN
71,71,Hendrawati,Agung Ethi,INA,8.00,,23. 8.00,,,,,,,,,2003,lead,WOMEN
72,71,Planinc,Katja,SLO,8.00,,,23. 8.00,,,,,,,,2003,lead,WOMEN
73,74,Abramchuk,Yulia,RUS,7.00,,,,,,,,24. 7.00,,,2003,lead,WOMEN
