,Rank,Name,Name.1,Nation,Points,533,552,585,584,525,581,2003,event,gender,athlete_id
61,62,Khakimianov,Ilfir,RUS,8.00,,,,,,23. 8.00,2003,boulder,MEN,358
62,62,Sadyrov,Marat,RUS,8.00,23. 8.00,,,,,,2003,boulder,MEN,2613
63,64,Januel,Nicolas,FRA,7.00,,,,,24. 7.00,,2003,boulder,MEN,3176
64,64,Jung,Daniel,GER,7.00,,,,,,24. 7.00,2003,boulder,MEN,5200
65,64,Sennelöv,Henrik,SWE,7.00,24. 7.00,,,,,,2003,boulder,MEN,6183
66,64,Valjavec,Tomaz,SLO,7.00,,,24. 7.00,,,,2003,boulder,MEN,926
67,68,Gandolfo,Alessandro,ITA,6.00,,25. 6.00,,,,,2003,boulder,MEN,6246
68,68,Neuhaus,Thorsten,GER,6.00,,,28. 3.00,,29. 2.00,30. 1.00,2003,boulder,MEN,905
69,68,Shalagin,Mykhaylo,UKR,6.00,,,,,,25. 6.00,2003,boulder,MEN,3205
70,68,Smith,Martin,GBR,6.00,,,,25. 6.00,,,2003,boulder,MEN,3426
71,68,Villeneuve,Simon,CAN,6.00,,,25. 6.00,,,,2003,boulder,MEN,6224
72,73,Benk,Christian,GER,5.00,,,26. 5.00,,,,2003,boulder,MEN,1902
73,73,Zemski,Alexei,RUS,5.00,,,,,,26. 5.00,2003,boulder,MEN,2575
74,75,Jongeneelen,Jeroen,NED,4.00,,,,,,27. 4.00,2003,boulder,MEN,423
75,75,Mosley,Roy,GBR,4.00,27. 4.00,,,,,,2003,boulder,MEN,5766
76,75,Ozawa,Shinta,JPN,4.00,,,27. 4.00,,,,2003,boulder,MEN,5952
77,78,Deiana,Alessio,ITA,3.00,,,,28. 3.00,,,2003,boulder,MEN,6164
78,78,Girard,Antoine,FRA,3.00,,,,,28. 3.00,,2003,boulder,MEN,28
79,78,Tchernykh,Maxim,RUS,3.00,,,,,,28. 3.00,2003,boulder,MEN,2614
80,78,Vincent,Gary,GBR,3.00,28. 3.00,,,,,,2003,boulder,MEN,5484
81,82,Kim,Jabee,KOR,2.00,29. 2.00,,,,,,2003,boulder,MEN,5799
