,Rank,Name,Name.1,Nation,Points,KranjWC 26.11.2016,XiamenWC 22.10.2016,ArcoWC 26.08.2016,ImstWC 19.08.2016,BriançonWC 22.07.2016,VillarsWC 15.07.2016,ChamonixWC 11.07.2016,2016,event,gender
50,50,Lavarda,Jenny,ITA,8.00,23. 8.00,,,,,,,2016,lead,WOMEN
51,50,Niu,Di,CHN,8.00,,23. 8.00,,,,,,2016,lead,WOMEN
52,53,BAIMA,YuZhen,CHN,7.00,,24. 7.00,,,,,,2016,lead,WOMEN
53,54,Ebner,Andrea,ITA,6.00,25. 6.00,,,,,,,2016,lead,WOMEN
54,54,Kümin,Andrea,SUI,6.00,,,27. 4.00,,,29. 2.00,,2016,lead,WOMEN
55,54,PUBU,ZhuoMa,CHN,6.00,,25. 6.00,,,,,,2016,lead,WOMEN
56,57,Buhrfeind,Claire,USA,5.00,,,,,26. 5.00,,,2016,lead,WOMEN
57,57,Krampl,Mia,SLO,5.00,26. 5.00,,,,,,,2016,lead,WOMEN
58,57,zhuoma,renzeng,CHN,5.00,,26. 5.00,,,,,,2016,lead,WOMEN
59,60,Fux,Evelyne,SUI,4.00,,,,,,27. 4.00,,2016,lead,WOMEN
60,61,Krasovskaya,Elena,RUS,3.00,,,,,,,28. 3.00,2016,lead,WOMEN
61,61,YOSHIMURA,Moe,JPN,3.00,,,28. 3.00,,,,,2016,lead,WOMEN
62,63,Hafsaas,Tina Johnsen,NOR,1.00,29. 1.00,,,,,,,2016,lead,WOMEN
63,63,Slezakova,Lenka,CZE,1.00,,,,,,,30. 1.00,2016,lead,WOMEN
64,63,Stöckler,Laura,AUT,1.00,29. 1.00,,,,,,,2016,lead,WOMEN
65,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,2016,lead,WOMEN
