,Rank,Name,Name.1,Nation,Points,390,373,391,372,371,2001,event,gender,athlete_id
0,1,Sarkany,Muriel,BEL,440.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,2. 80.00,2001,lead,WOMEN,1272
1,2,Cufar,Martina,SLO,385.00,1. 100.00,4. 55.00,3. 65.00,3. 65.00,1. 100.00,2001,lead,WOMEN,1236
2,3,Levet,Sandrine,FRA,297.00,9. 37.00,2. 80.00,2. 80.00,1. 100.00,,2001,lead,WOMEN,1350
3,4,Schultz,Annatina,SUI,227.00,4. 55.00,3. 65.00,7. 43.00,8. 40.00,14. 24.00,2001,lead,WOMEN,3870
4,4,schöpf,Bettina,AUT,227.00,6. 47.00,7. 43.00,6. 47.00,6. 47.00,7. 43.00,2001,lead,WOMEN,1042
5,6,Gros,Natalija,SLO,220.00,11. 31.00,6. 47.00,8. 40.00,5. 51.00,5. 51.00,2001,lead,WOMEN,2755
6,7,Knorr,Damaris,GER,166.00,7. 43.00,14. 24.00,9. 37.00,10. 34.00,12. 28.00,2001,lead,WOMEN,1084
7,7,Lavarda,Jenny,ITA,166.00,10. 34.00,8. 40.00,5. 51.00,21. 10.00,11. 31.00,2001,lead,WOMEN,1179
8,9,Minoret,Chloé,FRA,148.00,3. 65.00,23. 8.00,4. 55.00,16. 20.00,,2001,lead,WOMEN,1063
9,10,Ovtchinnikova,Elena,USA,134.00,,,19. 14.00,4. 55.00,3. 65.00,2001,lead,WOMEN,1101
10,11,Eyer,Alexandra,SUI,127.00,27. 4.00,12. 28.00,10. 34.00,14. 24.00,9. 37.00,2001,lead,WOMEN,991
11,12,Go,Mi-Sun,KOR,124.00,5. 51.00,13. 26.00,24. 7.00,,8. 40.00,2001,lead,WOMEN,1273
12,13,Kryvonis,Olena,UKR,109.00,8. 40.00,18. 16.00,,25. 6.00,6. 47.00,2001,lead,WOMEN,1393
13,14,Uhden,Marietta,GER,107.00,27. 4.00,,26. 5.00,7. 43.00,4. 55.00,2001,lead,WOMEN,1277
14,15,Kimura,Rie,JPN,95.00,11. 31.00,14. 24.00,,11. 31.00,22. 9.00,2001,lead,WOMEN,1327
15,16,Bacher,Barbara,AUT,80.00,15. 22.00,,14. 24.00,,10. 34.00,2001,lead,WOMEN,1030
16,17,Benetti,Lisa,ITA,78.00,19. 14.00,,13. 26.00,12. 28.00,21. 10.00,2001,lead,WOMEN,1203
17,18,Shalagina,Olga,UKR,70.00,13. 26.00,,17. 18.00,13. 26.00,,2001,lead,WOMEN,3268
18,19,Ostapenko,Olena,UKR,67.00,15. 22.00,,23. 8.00,9. 37.00,,2001,lead,WOMEN,1015
19,20,Kim,Hyun-Jung,KOR,66.00,21. 10.00,17. 18.00,,17. 18.00,16. 20.00,2001,lead,WOMEN,1143
20,21,Nilsson,Ingela,SWE,61.00,23. 8.00,9. 37.00,27. 4.00,,20. 12.00,2001,lead,WOMEN,1162
