,Rank,Name,Name.1,Nation,Points,XiamenWC 27.10.2018,Wujiang 20.10.2018,KranjWC 29.09.2018,ArcoWC 27.07.2018,BriançonWC 20.07.2018,ChamonixWC 11.07.2018,VillarsWC 06.07.2018,2018,event,gender
60,61,Bergant,Martin,SLO,4.00,,,,,,,27. 4.00,2018,lead,MEN
61,61,Doyle,Aidan,CAN,4.00,30. 1.00,28. 3.00,,,,,,2018,lead,MEN
62,61,Ruana,Rudolph,USA,4.00,,,,27. 4.00,,,,2018,lead,MEN
63,64,Barraclough,Brandon,CAN,3.00,28. 3.00,,,,,,,2018,lead,MEN
64,64,Duval,Arsène,FRA,3.00,,,,,,,28. 3.00,2018,lead,MEN
65,66,McArthur,Hamish,GBR,2.00,,,29. 2.00,,,,,2018,lead,MEN
66,66,Preskar,Milan,SLO,2.00,,,,29. 2.00,,,,2018,lead,MEN
67,66,Septo Wibowo Siburian,Pangeran,INA,2.00,,29. 2.00,,,,,,2018,lead,MEN
68,69,Bonder,Jeremy,FRA,1.00,,,,,,30. 1.00,,2018,lead,MEN
69,69,Jaelolo,Aspar,INA,1.00,,30. 1.00,,,,,,2018,lead,MEN
70,69,Posch,Mathias,AUT,1.00,,,30. 1.00,,,,,2018,lead,MEN
71,69,Vogt,Dimitri,SUI,1.00,,,,30. 1.00,,,,2018,lead,MEN
72,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,2018,lead,MEN
