,Rank,Name,Name.1,Nation,Points,6198,6252,6182,6174,6170,6166,6158,2017,event,gender,athlete_id
62,58,Raboutou,Shawn,USA,5.00,,,25. 5.00,,,,,2017,boulder,MEN,13304
63,64,Parma,Georg,AUT,4.00,,,27. 3.00,,29. 1.00,,,2017,boulder,MEN,10625
64,65,Farrell,Thomas,AUS,3.00,,,,27. 3.00,,,,2017,boulder,MEN,6733
65,65,Holowach,Jason,CAN,3.00,,,27. 3.00,,,,,2017,boulder,MEN,3652
66,65,Lorenzi,Simon,BEL,3.00,,,,,,,27. 3.00,2017,boulder,MEN,10359
67,65,Pastor Martínez,Sergio,ESP,3.00,,,,,,27. 3.00,,2017,boulder,MEN,56763
68,65,Posch,Jan-Luca,AUT,3.00,,27. 3.00,,,,,,2017,boulder,MEN,11636
69,65,Ruangrit,Winai,THA,3.00,,27. 3.00,,,,,,2017,boulder,MEN,10556
70,71,Skofic,Domen,SLO,2.00,,,29. 1.00,,,,29. 1.00,2017,boulder,MEN,8958
71,72,Bombardi,Marcello,ITA,1.00,,,,29. 1.00,,,,2017,boulder,MEN,8317
72,72,Coleman,Nathaniel,USA,1.00,,,29. 1.00,,,,,2017,boulder,MEN,12601
73,72,Kelloniemi,Ilari Juho,FIN,1.00,,,,29. 1.00,,,,2017,boulder,MEN,13139
