,Rank,Name,Name.1,Nation,Points,7935,7932,7959,7929,7926,7923,2019,event,gender,athlete_id
0,1,Garnbret,Janja,SLO,500.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. (100.00),2019,boulder,WOMEN,11989
1,2,Noguchi,Akiyo,JPN,320.00,2. 80.00,,2. 80.00,2. 80.00,,2. 80.00,2019,boulder,WOMEN,6326
2,3,Gibert,Fanny,FRA,308.00,3. 65.00,2. 80.00,13. (25.00),7. 43.00,3. 65.00,4. 55.00,2019,boulder,WOMEN,9989
3,4,Ito,Futaba,JPN,206.00,12. 28.00,,7. 43.00,5. 51.00,6. 47.00,9. 37.00,2019,boulder,WOMEN,60150
4,5,Pilz,Jessica,AUT,203.00,,12. 27.00,5. 51.00,3. 65.00,5. 51.00,21. 9.00,2019,boulder,WOMEN,9970
5,6,Klingler,Petra,SUI,180.00,,,10. 34.00,4. 55.00,8. 40.00,5. 51.00,2019,boulder,WOMEN,6367
6,7,Rakovec,Lucka,SLO,163.00,,8. 38.00,15. 22.00,12. 28.00,4. 55.00,16. 20.00,2019,boulder,WOMEN,13208
7,8,Kadic,Katja,SLO,161.00,,6. 47.00,13. 25.00,6. 47.00,19. 14.00,12. 28.00,2019,boulder,WOMEN,9472
8,9,Chanourdie,Julia,FRA,157.00,19. 14.00,4. 55.00,6. 47.00,14. 24.00,,17. 17.00,2019,boulder,WOMEN,9984
9,10,Coxsey,Shauna,GBR,145.00,,,,,2. 80.00,3. 65.00,2019,boulder,WOMEN,8247
10,10,Kazbekova,Ievgeniia,UKR,145.00,,5. 51.00,11. 31.00,25. 5.00,10. 32.00,13. 26.00,2019,boulder,WOMEN,9956
11,12,Yip,Alannah,CAN,139.00,15. 22.00,,17. 18.00,8. 40.00,9. 37.00,15. 22.00,2019,boulder,WOMEN,8590
12,13,Johnson,Alex,USA,125.00,13. 26.00,10. 34.00,29. (1.00),17. 17.00,25. 5.00,7. 43.00,2019,boulder,WOMEN,6325
13,14,Hönig,Afra,GER,111.00,10. 34.00,17. 15.00,25. 5.00,,14. 23.00,10. 34.00,2019,boulder,WOMEN,9773
14,15,Nonaka,Miho,JPN,110.00,4. 55.00,,4. 55.00,,,,2019,boulder,WOMEN,12039
15,16,Nakamura,Mao,JPN,102.00,6. 47.00,,12. 28.00,16. 20.00,23. 7.00,,2019,boulder,WOMEN,14002
16,17,SA,Sol,KOR,100.00,,,8. 40.00,,7. 43.00,17. 17.00,2019,boulder,WOMEN,9266
17,18,Condie,Kyra,USA,93.00,14. 24.00,21. 9.00,,,16. 20.00,8. 40.00,2019,boulder,WOMEN,11374
18,19,Zhang,YueTong,CHN,80.00,,,16. 20.00,11. 31.00,13. 26.00,27. 3.00,2019,boulder,WOMEN,69147
19,20,Mori,Ai,JPN,77.00,,,3. 65.00,21. 9.00,,27. 3.00,2019,boulder,WOMEN,66821
20,21,Krampl,Mia,SLO,74.00,,3. 65.00,,23. 7.00,29. 1.00,29. 1.00,2019,boulder,WOMEN,13209
21,22,Lettner,Sandra,AUT,70.00,,30. 1.00,23. 7.00,27. 3.00,12. 28.00,11. 31.00,2019,boulder,WOMEN,13211
22,22,Phillips,Emily,GBR,70.00,,14. 23.00,27. 3.00,,10. 32.00,20. 12.00,2019,boulder,WOMEN,57446
23,22,Rekabi,Elnaz,IRI,70.00,,,9. 37.00,13. 26.00,23. 7.00,,2019,boulder,WOMEN,8812
24,25,Lukan,Vita,SLO,65.00,,7. 43.00,,15. 22.00,,,2019,boulder,WOMEN,12597
