,Rank,Name,Name.1,Nation,Points,65,66,63,67,68,64,1993,event,gender,athlete_id
0,1,Legrand,François,FRA,480.00,1. 100.00,1. 100.00,,1. 100.00,1. 100.00,2. 80.00,1993,lead,MEN,266
1,2,Petit,François,FRA,361.00,3. 65.00,3. 65.00,1. 100.00,2. 80.00,10. (34.00),5. 51.00,1993,lead,MEN,275
2,3,Hirayama,Yuji,JPN,277.00,28. 3.00,2. 80.00,,5. 51.00,7. 43.00,1. 100.00,1993,lead,MEN,973
3,4,Scassa,Severino,ITA,268.00,8. 40.00,12. 28.00,28. (3.00),3. 65.00,2. 80.00,4. 55.00,1993,lead,MEN,849
4,5,Lombard,François,FRA,252.00,2. 80.00,5. 51.00,2. 80.00,9. 37.00,,27. 4.00,1993,lead,MEN,268
5,6,Petit,Arnaud,FRA,176.00,10. 34.00,9. 37.00,23. (8.00),8. 40.00,17. 18.00,6. 47.00,1993,lead,MEN,50
6,7,Zardini,Luca,ITA,171.00,,,8. 40.00,7. 43.00,5. 51.00,9. 37.00,1993,lead,MEN,542
7,8,Chevieux,Elie,SUI,158.00,17. 18.00,20. 12.00,6. 47.00,4. 55.00,13. 26.00,28. (3.00),1993,lead,MEN,219
8,9,Vickers,Ian,GBR,157.00,23. 8.00,4. 55.00,5. 51.00,,,7. 43.00,1993,lead,MEN,375
9,10,Samoiline,Pavel,RUS,141.00,26. 5.00,28. 3.00,,6. 47.00,4. 55.00,11. 31.00,1993,lead,MEN,734
10,11,Moon,Ben,GBR,140.00,,6. 47.00,19. 14.00,29. 2.00,9. 37.00,8. 40.00,1993,lead,MEN,89
