,Rank,Name,Name.1,Nation,Points,1119,1099,1097,1122,1096,1093,1106,2008,event,gender,athlete_id
0,1,Fischhuber,Kilian,AUT,520.00,2. 80.00,7. (43.00),2. 80.00,1. 100.00,2. 80.00,2. 80.00,1. 100.00,2008,boulder,MEN,2602
1,2,Lama,David,AUT,375.00,,3. 65.00,1. 100.00,9. 37.00,3. 65.00,1. 100.00,23. 8.00,2008,boulder,MEN,6487
2,3,Sharafutdinov,Dmitrii,RUS,335.00,4. 55.00,1. 100.00,,,1. 100.00,,2. 80.00,2008,boulder,MEN,5781
3,4,Moroni,Gabriele,ITA,327.00,10. (34.00),6. 47.00,4. 55.00,2. 80.00,4. 55.00,7. 43.00,6. 47.00,2008,boulder,MEN,5176
4,5,Gelmanov,Rustam,RUS,305.00,1. 100.00,2. 80.00,5. 51.00,,10. 34.00,,8. 40.00,2008,boulder,MEN,6933
5,6,Pouvreau,Gérome,FRA,185.00,,8. 40.00,,4. 55.00,11. 31.00,4. 55.00,27. 4.00,2008,boulder,MEN,2833
6,7,Hori,Tsukuru,JPN,157.00,9. 37.00,5. 51.00,6. 47.00,,15. 22.00,,,2008,boulder,MEN,7226
7,8,Baumann,Jonas,GER,154.00,5. 51.00,13. 26.00,7. 43.00,21. 10.00,,14. 24.00,,2008,boulder,MEN,5206
8,8,McColl,Sean,CAN,154.00,,4. 55.00,3. 65.00,10. 34.00,,,,2008,boulder,MEN,5089
9,10,Laurence,Ludovic,FRA,145.00,22. 9.00,17. 18.00,24. 7.00,26. (5.00),9. 37.00,9. 37.00,9. 37.00,2008,boulder,MEN,521
10,11,Glairon Mondet,Guillaume,FRA,143.00,,16. 20.00,10. 34.00,30. 1.00,26. 5.00,12. 28.00,4. 55.00,2008,boulder,MEN,3500
11,12,Müller,Matthias,SUI,142.00,,,17. 18.00,24. 7.00,7. 43.00,8. 40.00,10. 34.00,2008,boulder,MEN,2675
12,13,Preti,Lucas,ITA,123.00,14. 24.00,10. 34.00,9. 37.00,23. 8.00,,16. 20.00,,2008,boulder,MEN,2606
13,14,Woods,Daniel,USA,116.00,,,,5. 51.00,,,3. 65.00,2008,boulder,MEN,6308
14,15,Matsushima,Akito,JPN,113.00,,,8. 40.00,,6. 47.00,13. 26.00,,2008,boulder,MEN,3206
15,16,Core,Christian,ITA,112.00,,,19. 14.00,14. 24.00,,11. 31.00,7. 43.00,2008,boulder,MEN,122
16,17,Caminati,Michele,ITA,111.00,,14. 24.00,13. 26.00,12. 28.00,22. 9.00,20. 12.00,20. 12.00,2008,boulder,MEN,6245
17,18,Becan,Klemen,SLO,109.00,6. 47.00,11. 31.00,26. 5.00,,13. 26.00,,,2008,boulder,MEN,2523
18,18,Verhoeven,Jorg,NED,109.00,,19. 14.00,27. 4.00,,,3. 65.00,13. 26.00,2008,boulder,MEN,3115
19,20,Shalagin,Mykhaylo,UKR,101.00,20. 12.00,,14. 24.00,,5. 51.00,19. 14.00,,2008,boulder,MEN,3205
20,21,Stranik,Martin,CZE,90.00,,25. 6.00,15. 22.00,11. 31.00,,,11. 31.00,2008,boulder,MEN,6489
21,22,Julien,Stephane,FRA,84.00,,12. 28.00,,26. 5.00,,5. 51.00,,2008,boulder,MEN,826
