,Rank,Name,Name.1,Nation,Points,455,453,450,446,444,441,439,2002,event,gender,athlete_id
48,48,Nourmamatov,Serguei,RUS,14.00,,,,,,19. 14.00,,2002,lead,MEN,840
49,48,Zavagnin,Davide,ITA,14.00,,19. 14.00,,,,,,2002,lead,MEN,216
50,51,Christophersen,Stian,NOR,12.00,,,20. 12.00,,,,,2002,lead,MEN,3545
51,51,Fichtinger,Reinhard,AUT,12.00,,29. 2.00,,,21. 10.00,,,2002,lead,MEN,757
52,53,Saga,Atsushi,JPN,10.00,,,21. 10.00,,,,,2002,lead,MEN,3215
53,54,Ben,Tan,SGP,9.00,,,22. 9.00,,,,,2002,lead,MEN,3167
54,55,Giupponi,Luca,ITA,8.00,,,,,,,23. 8.00,2002,lead,MEN,514
55,55,Loste,Julien,FRA,8.00,,,,23. 8.00,,,,2002,lead,MEN,3520
56,55,Mamarimbing,Ronald,INA,8.00,,,23. 8.00,,,,,2002,lead,MEN,766
57,55,Son,Sangwon,KOR,8.00,23. 8.00,,,,,,,2002,lead,MEN,3394
58,59,Becan,Klemen,SLO,7.00,24. 7.00,,,,,,,2002,lead,MEN,2523
59,59,Cao,Rongwu,CHN,7.00,,,24. 7.00,,,,,2002,lead,MEN,5398
60,59,Ghidini,Stefano,ITA,7.00,,,,,,,24. 7.00,2002,lead,MEN,819
61,59,Tcherechnev,Oleg,RUS,7.00,,,,,,24. 7.00,,2002,lead,MEN,673
62,63,Liu,Yi-De,TPE,6.00,,,25. 6.00,,,,,2002,lead,MEN,4982
63,63,Shaferov,Sergei,BLR,6.00,,,,,,25. 6.00,,2002,lead,MEN,5396
64,65,Achermann,Thomas,SUI,5.00,,,,,,26. 5.00,,2002,lead,MEN,867
65,65,Chu,Ka-Wai,HKG,5.00,,,26. 5.00,,,,,2002,lead,MEN,3692
66,67,Ding,Xianghua,CHN,4.00,,,27. 4.00,,,,,2002,lead,MEN,4990
67,67,Karthik,H. C.,IND,4.00,,,27. 4.00,,,,,2002,lead,MEN,5743
